_,regdate,first_name,last_name,email_address,homephone,street,city,state,zipcode
1,11/12/08 10:47,Allison,Nguyen,arannon@jumpstartlab.com,4145205000,3155 19th St NW,Washington,DC,20010
3,11/12/08 13:30,Sarah,Xx,lqrm4462@jumpstartlab.com,7048133000,4175 3rd Street North,Saint Petersburg,FL,33703
5,11/12/08 14:46,Douglas,Zimmerman,vjeller.79@jumpstartlab.com,7782327000,1818 Woodland Ave #101,Des Moines,IA,50309
7,11/12/08 16:05,Mary Kate,Curry,wmppydaymaker@jumpstartlab.com,5309193000,1509 Jackson Street,Baltimore,MD,21230
9,11/13/08 1:32,Shiyu,Armideo,odfarg06@jumpstartlab.com,8584053000,644 Ikemaka PL,Kailua,HI,96734
11,11/13/08 18:17,Colin,Harmston,qkristie.lencsak@jumpstartlab.com,3154506000,34 blue heron drive,attleboro,MA,02703
13,11/16/08 11:44,Meggie,Tippit,dgsanshamel@jumpstartlab.com,7872950000,28 Olive Ave.,Piedmont,CA,94611
15,11/16/08 20:20,Paul,Fulghum,cnroh@jumpstartlab.com,6033053000,shohadaye sadeghiye,Tehran,YK,14517
17,11/19/08 21:56,Shannon,Davis,ltb3@jumpstartlab.com,2062263000,Campion 1108 914 E. Jefferson,Seattle,WA,98122
19,11/23/08 20:44,Amanda,Hartzell,nqm17@jumpstartlab.com,6507990000,3515 School St,Valois,NY,14841
21,11/28/08 22:44,John,Hoy,xhnebenz@jumpstartlab.com,7743130000,300 E 30th St Apt 304,Austin,TX,78705
23,12/2/08 13:53,Dana,Williams,geggierose27@jumpstartlab.com,3038186000,228 Charter House Lane,Williamsburg,VA,23188
25,12/2/08 21:50,Maria,Brown,cyerlun@jumpstartlab.com,8013626000,36605 ne north fork ave,la center,WA,98629
27,12/3/08 0:47,Oliver,Bringe,wfwilliams09@jumpstartlab.com,9086357000,650 Cambridge Blvd.,Grand Rapids,MI,49506
29,12/3/08 19:25,Brant,Berdis,yaaymazu@jumpstartlab.com,4109639000,18334 Los Alimos St.,Porter Ranch,CA,91326
31,12/3/08 22:21,Marta,Nguyen,nfanda.kleintop@jumpstartlab.com,3012702000,1100 W. Broad St #428,Richmond,VA,23220
